,AGL,ANG,BIL,GFI,GLN,IMP,MND,MNP,SAP,SGL,SOL
AGL,1.000,0.058,0.175,0.048,0.076,0.070,0.152,0.153,0.073,0.053,0.162
ANG,0.058,1.000,0.128,0.035,0.056,0.051,0.111,0.111,0.053,0.038,0.118
BIL,0.175,0.128,1.000,0.106,0.169,0.155,0.337,0.338,0.162,0.117,0.358
GFI,0.048,0.035,0.106,1.001,0.046,0.042,0.092,0.092,0.044,0.032,0.098
GLN,0.076,0.056,0.169,0.046,1.011,0.068,0.146,0.147,0.070,0.051,0.156
IMP,0.070,0.051,0.155,0.042,0.068,0.998,0.135,0.135,0.065,0.047,0.143
MND,0.152,0.111,0.337,0.092,0.146,0.135,0.997,0.293,0.141,0.101,0.310
MNP,0.153,0.111,0.338,0.092,0.147,0.135,0.293,1.000,0.141,0.101,0.311
SAP,0.073,0.053,0.162,0.044,0.070,0.065,0.141,0.141,0.996,0.049,0.149
SGL,0.053,0.038,0.117,0.032,0.051,0.047,0.101,0.101,0.049,0.999,0.107
SOL,0.162,0.118,0.358,0.098,0.156,0.143,0.310,0.311,0.149,0.107,1.004
